pilot_mmsi,vessel_mmsi,start_time,end_time,duration_minutes,num_observations,min_distance,max_distance,avg_distance,start_lat,start_lon,end_lat,end_lon,course_aligned_observations,speed_similar_observations,stationary_observations,avg_course_difference,avg_speed_difference,course_alignment_ratio,speed_similarity_ratio,primary_validation_reason
373493000.0,354307000.0,2023-06-07 06:08:39,2023-06-07 06:10:39,2.0,2,62.14469010022815,63.0330237117326,62.58885690598038,35.0779383333333,128.782341666667,35.0779383333333,128.782328333333,0,0,2,22.299999999999983,0.0,0.0,0.0,stationary_vessel
373493000.0,440319740.0,2023-06-07 09:23:29,2023-06-07 09:25:29,2.0,3,96.78098085674168,97.49712387799521,97.13512357426292,35.0779466666667,128.783918333333,35.07796,128.783928333333,0,0,3,161.1,0.0,0.0,0.0,stationary_vessel
373493000.0,440319740.0,2023-06-07 10:27:49,2023-06-07 10:36:09,8.333333333333334,5,94.50476978443581,96.23707071654174,95.19906538153074,35.077955,128.783916666667,35.07796,128.783913333333,0,0,5,161.1,0.02,0.0,0.0,stationary_vessel
373493000.0,440319740.0,2023-06-07 12:02:59,2023-06-07 12:21:39,18.666666666666668,9,91.90938862340428,97.35845022881156,94.92757838375209,35.0779516666667,128.783905,35.077955,128.783895,0,0,9,136.39999999999998,0.011111111111111112,0.0,0.0,stationary_vessel
373493000.0,440319740.0,2023-06-07 12:54:09,2023-06-07 12:58:50,4.683333333333334,2,94.14619337289133,95.9199030099721,95.03304819143172,35.077955,128.783921666667,35.0779433333333,128.783893333333,0,0,2,63.400000000000006,0.0,0.0,0.0,stationary_vessel
373493000.0,440319740.0,2023-06-07 13:17:20,2023-06-07 13:24:29,7.15,3,95.9400019110556,99.33594306729161,97.8763945900871,35.07796,128.783953333333,35.0779733333333,128.783933333333,0,0,3,63.400000000000006,0.09999999999999999,0.0,0.0,stationary_vessel
373493000.0,440319740.0,2023-06-07 18:10:01,2023-06-07 18:12:02,2.0166666666666666,2,12.014368539403579,12.358207717418596,12.186288128411087,35.0779466666667,128.782915,35.0779666666667,128.7829,2,0,2,2.5,0.0,1.0,0.0,stationary_vessel
373493000.0,440320000.0,2023-06-07 00:21:19,2023-06-07 00:34:39,13.333333333333334,9,57.908927906482106,60.62743019357816,58.946836297330236,35.0778616666667,128.78435,35.0778566666667,128.784366666667,0,0,9,118.13333333333334,0.0,0.0,0.0,stationary_vessel
373493000.0,440320000.0,2023-06-07 00:50:19,2023-06-07 00:54:39,4.333333333333333,2,60.046341063179895,60.148822963776254,60.097582013478075,35.07784,128.78436,35.0778466666667,128.784346666667,0,0,2,143.20000000000002,0.0,0.0,0.0,stationary_vessel
373493000.0,440320000.0,2023-06-07 01:00:20,2023-06-07 01:01:20,1.0,2,60.47395722852147,60.721926913564296,60.59794207104288,35.0778333333333,128.784353333333,35.0778416666667,128.784335,0,0,2,143.20000000000002,0.0,0.0,0.0,stationary_vessel
373493000.0,440320000.0,2023-06-07 01:18:19,2023-06-07 01:24:19,6.0,6,56.294525067052184,59.922562723595064,58.60399609517128,35.0778783333333,128.784346666667,35.07784,128.78436,0,0,6,143.20000000000002,0.0,0.0,0.0,stationary_vessel
440008040.0,440013330.0,2023-06-07 15:36:45,2023-06-07 15:43:25,6.666666666666667,7,10.14814103709258,11.245516130174801,10.82031191026813,35.0794483333333,128.784516666667,35.07948,128.784526666667,0,0,7,56.85714285714287,0.1142857142857143,0.0,0.0,stationary_vessel
440008040.0,440013330.0,2023-06-07 15:51:25,2023-06-07 16:06:25,15.0,9,10.265019920412804,12.45540074964144,11.464650676430809,35.0794716666667,128.784518333333,35.0794733333333,128.784518333333,3,0,9,44.8,0.07777777777777778,0.3333333333333333,0.0,stationary_vessel
440008040.0,440013330.0,2023-06-07 16:14:35,2023-06-07 16:24:25,9.833333333333334,5,10.896396305166927,25.244307037177382,17.187294290434796,35.0794716666667,128.784523333333,35.0796116666667,128.784496666667,0,0,5,99.39999999999999,0.13999999999999999,0.0,0.0,stationary_vessel
440008040.0,440013330.0,2023-06-07 17:37:30,2023-06-07 17:48:38,11.133333333333333,7,10.193739556226562,10.933800076466746,10.439341987474986,35.0794033333333,128.784505,35.07933,128.784506666667,1,0,7,127.0142857142857,0.17142857142857143,0.14285714285714285,0.0,stationary_vessel
440008040.0,440013330.0,2023-06-07 18:01:38,2023-06-07 18:06:19,4.683333333333334,5,8.926201288015683,10.585149032232493,9.706818137422857,35.0793283333333,128.784515,35.0793266666667,128.784516666667,5,0,5,13.599999999999994,0.06000000000000001,1.0,0.0,stationary_vessel
440008040.0,440013330.0,2023-06-07 18:12:48,2023-06-07 18:19:18,6.5,5,9.06742289765103,10.694898444350398,9.751802839742487,35.0793266666667,128.784505,35.0793333333333,128.784506666667,1,0,5,31.240000000000002,0.13999999999999999,0.2,0.0,stationary_vessel
440008040.0,440013330.0,2023-06-07 18:54:38,2023-06-07 19:05:34,10.933333333333334,7,10.35455466510268,21.19672425077241,12.949593420671784,35.0794583333333,128.784415,35.0793383333333,128.784501666667,0,0,7,88.68571428571428,1.271428571428571,0.0,0.0,stationary_vessel
440008040.0,440013330.0,2023-06-07 20:41:03,2023-06-07 20:44:43,3.6666666666666665,3,9.492103426778943,10.327985481888646,9.998878268069873,35.0793466666667,128.784488333333,35.0793366666667,128.784516666667,0,0,3,81.9,0.0,0.0,0.0,stationary_vessel
